From,To,Distance,Duration,Duracion_en_horas
Depot,Depot,0,12:00:00 a. m.,0
Depot,Customer 1,5.89,12:14:00 a. m.,0.2333
Depot,Customer 2,4.37,12:12:00 a. m.,0.2
Depot,Customer 3,11.05,12:25:00 a. m.,0.4167
Depot,Customer 4,9.27,12:20:00 a. m.,0.3333
Depot,Customer 5,8.72,12:20:00 a. m.,0.3333
Depot,Customer 6,8.31,12:18:00 a. m.,0.3
Depot,Customer 7,9.45,12:20:00 a. m.,0.3333
Depot,Customer 8,3.34,12:09:00 a. m.,0.15
Depot,Customer 9,8.26,12:19:00 a. m.,0.3167
Depot,Customer 10,3.92,12:09:00 a. m.,0.15
Depot,Customer 11,6.21,12:15:00 a. m.,0.25
Depot,Customer 12,1.86,12:06:00 a. m.,0.1
Depot,Customer 13,7.83,12:18:00 a. m.,0.3
Depot,Customer 14,6.94,12:15:00 a. m.,0.25
Depot,Customer 15,4.41,12:10:00 a. m.,0.1667
Depot,Customer 16,6.31,12:14:00 a. m.,0.2333
Depot,Customer 17,6,12:14:00 a. m.,0.2333
Depot,Customer 18,2.19,12:07:00 a. m.,0.1167
Depot,Customer 19,3.31,12:08:00 a. m.,0.1333
Depot,Customer 20,7.47,12:17:00 a. m.,0.2833
Depot,Customer 21,5.53,12:12:00 a. m.,0.2
Depot,Customer 22,3.17,12:07:00 a. m.,0.1167
Depot,Customer 23,6.02,12:13:00 a. m.,0.2167
Depot,Customer 24,7.15,12:16:00 a. m.,0.2667
Depot,Customer 25,4.24,12:09:00 a. m.,0.15
Depot,Customer 26,8.44,12:19:00 a. m.,0.3167
Depot,Customer 27,5.43,12:12:00 a. m.,0.2
Depot,Customer 28,6.21,12:16:00 a. m.,0.2667
Depot,Customer 29,3.72,12:09:00 a. m.,0.15
Depot,Customer 30,4.16,12:10:00 a. m.,0.1667
Depot,Customer 31,9.89,12:23:00 a. m.,0.3833
Depot,Customer 32,5.39,12:11:00 a. m.,0.1833
Depot,Customer 33,8.21,12:17:00 a. m.,0.2833
Depot,Customer 34,9.29,12:21:00 a. m.,0.35
Depot,Customer 35,4.11,12:11:00 a. m.,0.1833
Depot,Customer 36,8.04,12:17:00 a. m.,0.2833
Depot,Customer 37,6.46,12:15:00 a. m.,0.25
Depot,Customer 38,4.6,12:10:00 a. m.,0.1667
Depot,Customer 39,9.75,12:22:00 a. m.,0.3667
Depot,Customer 40,4.96,12:10:00 a. m.,0.1667
Depot,Customer 41,0.2,12:01:00 a. m.,0.0167
Depot,Customer 42,9.02,12:22:00 a. m.,0.3667
Depot,Customer 43,0.34,12:01:00 a. m.,0.0167
Depot,Customer 44,1.81,12:06:00 a. m.,0.1
Depot,Customer 45,5.9,12:14:00 a. m.,0.2333
Depot,Customer 46,7.96,12:20:00 a. m.,0.3333
Depot,Customer 47,10.94,12:26:00 a. m.,0.4333
Depot,Customer 48,4.99,12:12:00 a. m.,0.2
Depot,Customer 49,6.89,12:19:00 a. m.,0.3167
Depot,Customer 50,3.11,12:08:00 a. m.,0.1333
Depot,Customer 51,19.59,12:37:00 a. m.,0.6167
Depot,Customer 52,6.92,12:15:00 a. m.,0.25
Depot,Customer 53,6.54,12:16:00 a. m.,0.2667
Depot,Customer 54,8.97,12:19:00 a. m.,0.3167
Depot,Customer 55,9.69,12:23:00 a. m.,0.3833
Depot,Customer 56,7.64,12:17:00 a. m.,0.2833
Depot,Customer 57,2.87,12:06:00 a. m.,0.1
Depot,Customer 58,5.98,12:16:00 a. m.,0.2667
Depot,Customer 59,6.29,12:14:00 a. m.,0.2333
Depot,Customer 60,5.44,12:15:00 a. m.,0.25
Depot,Customer 61,7.47,12:17:00 a. m.,0.2833
Depot,Customer 62,5.38,12:12:00 a. m.,0.2
Depot,Customer 63,5.49,12:14:00 a. m.,0.2333
Depot,Customer 64,9.83,12:24:00 a. m.,0.4
Depot,Customer 65,8.79,12:16:00 a. m.,0.2667
Depot,Customer 66,5.98,12:13:00 a. m.,0.2167
Depot,Customer 67,8.53,12:20:00 a. m.,0.3333
Depot,Customer 68,6.82,12:17:00 a. m.,0.2833
Depot,Customer 69,5.6,12:11:00 a. m.,0.1833
Depot,Customer 70,7.41,12:16:00 a. m.,0.2667
Depot,Customer 71,5.1,12:14:00 a. m.,0.2333
Depot,Customer 72,6.47,12:14:00 a. m.,0.2333
Depot,Customer 73,4.41,12:10:00 a. m.,0.1667
Depot,Customer 74,4.87,12:11:00 a. m.,0.1833
Depot,Customer 75,9.27,12:22:00 a. m.,0.3667
Depot,Customer 76,3.63,12:08:00 a. m.,0.1333
Depot,Customer 77,7.09,12:18:00 a. m.,0.3
Depot,Customer 78,7.94,12:18:00 a. m.,0.3
Depot,Customer 79,8.41,12:20:00 a. m.,0.3333
Depot,Customer 80,6.44,12:16:00 a. m.,0.2667
Depot,Customer 81,8.44,12:17:00 a. m.,0.2833
Depot,Customer 82,6.45,12:14:00 a. m.,0.2333
Depot,Customer 83,4.41,12:11:00 a. m.,0.1833
Depot,Customer 84,12.68,12:24:00 a. m.,0.4
Depot,Customer 85,9.53,12:21:00 a. m.,0.35
Depot,Customer 86,7.64,12:18:00 a. m.,0.3
Depot,Customer 87,3.08,12:08:00 a. m.,0.1333
Depot,Customer 88,5.15,12:13:00 a. m.,0.2167
Depot,Customer 89,8.16,12:20:00 a. m.,0.3333
Depot,Customer 90,7.64,12:16:00 a. m.,0.2667
Depot,Customer 91,7.29,12:16:00 a. m.,0.2667
Depot,Customer 92,7.6,12:17:00 a. m.,0.2833
Depot,Customer 93,7.53,12:18:00 a. m.,0.3
Depot,Customer 94,5.62,12:15:00 a. m.,0.25
Depot,Customer 95,5.62,12:13:00 a. m.,0.2167
Depot,Customer 96,8.86,12:21:00 a. m.,0.35
Depot,Customer 97,7.07,12:14:00 a. m.,0.2333
